#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee_x,Apoflag,Range_x,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,files,L,ime,SNR,distance,enhancement,enhancement_molno2,mean_signal,size,hour_after_launch,obs_time,time_delta,timestamp,L2_obs_time,L2_time_delta,time_delta_min,#LV_Name,LV_Family,LV_Manufacturer,LV_Variant,LV_Alias,LV_Min_Stage,LV_Max_Stage,Length,LFlag,Diameter,DFlag,Launch_Mass,MFlag,LEO_Capacity,GTO_Capacity,TO_Thrust,Class,Apogee_y,Range_y,ppf,no2_at_t0,ime_at_t0
2024-086 ,2460439.28,2024 May  8 1842:00,Falcon 9,FT5,334/B1083.3  F333,Starlink-164,Starlink Group 6-56,V2M  6-56 (23 Ku),-,KSC,LC39A,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.6083,-80.6041,True,3.312249622122652,1316.106222692532,7.340269914272605,0.061892143636683,1.1985094506888304e+17,8636.904712140846,5447770230403775.0,22.0,2,2024-05-08 19:01:52.155646976,0 days 00:19:52.155646976,2024-05-08 18:42:00,2024-05-08 19:21:47.184557,0 days 00:39:47.184557,39.786409283333334,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.3325031353503616,11508.702608649988,1753.71566819192
2024-109 ,2460467.12,2024 Jun  5 1452:15,Atlas V N22,-,AV-085,Starliner CFT,Starliner SC3,-,-,CC,SLC41,-,-,      -, ,    -, ,-,12.0,ULAL,OS,-,CX/C,Sat ISS D,Wire,-,-,28.46,-80.54,True,2.849637138280859,899.4655972539779,6.111226016314019,0.1479495996209816,9.511773294426323e+16,6860.965568820783,3658374344010125.0,26.0,2,2024-06-05 15:09:57.154941952,0 days 00:17:42.154941952,2024-06-05 14:52:15,2024-06-05 15:29:52.185156,0 days 00:37:37.185156,37.6197526,Atlas V N22,Atlas5              ,LMA,-,-,0.0,2.0,52.4, ,3.8, ,444.2, ,,6890.0,,O,40000.0,,1.3118348242373925,9000.453561072814,1179.9502936812532
2024-U04  ,2460597.02,2024 Oct 13 1225:00,Starship V1.0,-,B12/S30,Starship Flight 5,Ship 30,-,-,STB,OLP1,-,-,    213, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,1.00005628497324,1193.1320355933965,6.954720131657853,0.1884086337378949,3.515808089217299e+17,25933.092433911785,4185485820496785.0,84.0,2,2024-10-13 13:14:46.142352128,0 days 00:49:46.142352128,2024-10-13 12:25:00,2024-10-13 13:47:55.836274,0 days 01:22:55.836274,82.93060456666667,Starship V1.0,Starship            ,SPX,-,-,1.0,2.0,121.3, ,9.0, ,5020.0, ,100000.0,0.0,72500.0,O,200.0,,1.8191055246285084,47175.0317172307,2170.4330775592057
2024-182 ,2460598.17,2024 Oct 14 1606:00,Falcon Heavy,-,011/B1089.1,Europa Clipper,Europa Clipper,"B1064.6,B1065.6",-,KSC,LC39A,-,-,      -, ,    -, ,-,5.7,SPX,DS,-,CX/G,Sat EEO E,SpaceX,-,-,28.6083,-80.6041,True,4.234157673028788,6155.435562376582,7.219593734287294,0.2062926848015737,4.376733392112996e+17,31599.63075073187,4917677968666287.0,89.0,1,2024-10-14 16:54:37.147229952,0 days 00:48:37.147229952,2024-10-14 16:06:00,2024-10-14 17:14:32.176280,0 days 01:08:32.176280,68.53627133333333,Falcon Heavy,Falcon9             ,SPX,-,-,0.0,2.0,69.2, ,3.65, ,1400.0, ,54400.0,22200.0,17000.0,O,200.0,,1.6396612935117414,51812.69143123842,10092.82943633456
2024-210 ,2460629.06,2024 Nov 14 1321:00,Falcon 9,FT5,399/B1076.18 F396,Starlink-208,Starlink Group 6-68,V2M  6-68 (24 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,3.780480002652719,944.7106278295854,6.003375501834607,0.2000173795051,7.534953754407155e+16,5431.779114654651,4186085419115086.5,18.0,2,2024-11-14 13:43:12.033726720,0 days 00:22:12.033726720,2024-11-14 13:21:00,2024-11-14 14:03:04.030812,0 days 00:42:04.030812,42.0671802,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.3546119216965258,7357.952744733389,1279.716279011366
2025-015 ,2460697.16,2025 Jan 21 1545:50,Falcon 9,FT5,429/B1082.10 F428,Starlink-228,Starlink Group 11-8,V2MO 11-8  (27 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.121688372549436,2266.4491345194274,6.259400644614342,0.0278183829322125,3.435343138130042e+17,23219.59419055187,4089694212059574.5,84.0,2,2025-01-21 15:56:30.029582592,0 days 00:10:40.029582592,2025-01-21 15:45:50,2025-01-21 16:49:34.754636,0 days 01:03:44.754636,63.7459106,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.5839586763771674,36778.8776800815,3589.961771189569
2025-027 ,2460715.3,2025 Feb  8 1918:30,Falcon 9,FT5,438/B1078.17 F435,Starlink-233,Starlink Group 12-9,"V2M  12-3  (13 DTC,8 Ku)",-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,True,4.895915231465219,2627.2898747390545,7.1324562864334125,0.1602687006769343,1.6177698395193424e+17,11664.452186437997,4257289051366690.5,38.0,1,2025-02-08 19:23:21.024698368,0 days 00:04:51.024698368,2025-02-08 19:18:30,2025-02-08 19:43:16.053964,0 days 00:24:46.053964,24.767566066666667,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.1956598011529918,13946.716581795035,3141.3448892017664
2025-057 ,2460753.33,2025 Mar 18 1957:50,Falcon 9,FT5,xxx/B1077.19 F450,Starlink-244,Starlink Group 12-25,"V2MO 12-25(13 DTC,10 Ku)",-,CC,LC40,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.357417797827743,1748.9363834083665,6.593675836860008,0.122090118053508,1.567666148924779e+17,11322.931217248586,3335459891329317.0,47.0,2,2025-03-18 20:17:10.028413440,0 days 00:19:20.028413440,2025-03-18 19:57:50,2025-03-18 20:37:05.058043,0 days 00:39:15.058043,39.25096738333333,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.3273653170004696,15029.666184557682,2321.4774969765012
2025-094 ,2460805.51,2025 May 10 0019:50,Falcon 9,FT5,xxx/B1081.14 F472,Starlink-259,Starlink Group 15-3,V2MO 15-3  (26 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat LEO D,SpaceX,-,-,34.63,-120.61,True,2.932189717075837,2227.16729542242,6.402425657484598,0.126911641609587,2.445768546169687e+17,16510.150006498603,3596718450249540.0,68.0,1,2025-05-10 00:11:36.019709696,-1 days +23:51:46.019709696,2025-05-10 00:19:50,2025-05-10 00:44:57.845088,0 days 00:25:07.845088,25.130751466666666,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.1987969990359464,19792.318281423835,2669.921470103402
2025-101 ,2460810.19,2025 May 14 1638:50,Falcon 9,FT5,xxx/B1090.4  F476,Starlink-263,Starlink Group 6-67,V2MO 6-67  (28 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,2.5496889768196485,570.3465820125085,6.202793861238082,0.1252724700343493,6.739716406154952e+16,4862.301464803581,5184397235503809.0,13.0,1,2025-05-14 16:18:57.026721536,-1 days +23:40:07.026721536,2025-05-14 16:38:50,2025-05-14 16:38:52.056470,0 days 00:00:02.056470,0.0342745,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.0002473213436724,4863.504015735197,570.4876408955308
2025-U02  ,2460823.48,2025 May 27 2336:29?,Starship V2,R2,B14.2/S35,Starship Flight 9,Ship 35,-,-,STB,OLP1,-,-,    189, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,3.609276214533984,8283.889031025688,9.707278932037266,0.0433600423770405,6.760893922963507e+17,49888.95395540216,3735300509924589.5,181.0,2,2025-05-27 23:55:56.032533760,0 days 00:19:27.032533760,2025-05-27 23:36:29,2025-05-28 00:09:16.762792,0 days 00:32:47.762792,32.79604653333333,Starship V2,Starship            ,SPX,R2,-,1.0,2.0,121.4, ,9.0, ,5200.0,?,100000.0,0.0,80800.0,O,200.0,,1.26696428506916,63207.52288095434,10495.391543785718
2025-113 ,2460824.06,2025 May 28 1330:00,Falcon 9,FT5,xxx/B1080.19 F482,Starlink-269,Starlink Group 10-32,V2MO 10-32,-,KSC,LC39A,-,-,      -, ,    -, ,-,17.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,5.193816295090108,1418.549788090877,6.9451553684849685,0.0668694758658589,8.234071415413253e+16,5936.742927290473,3920986388292025.0,21.0,1,2025-05-28 13:15:32.024788736,-1 days +23:45:32.024788736,2025-05-28 13:30:00,2025-05-28 13:35:27.054416,0 days 00:05:27.054416,5.450906933333333,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.0401119305098696,6174.877147044908,1475.4505586155685
2025-124 ,2460837.05,2025 Jun 10 1305:40,Falcon 9,FT5,xxx/B1083.12 F489,Starlink-274,Starlink Group 12-24,V2MO 12-24,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,4.140605694797327,1332.9301702630391,8.006395227672053,0.1909994982031782,9.709050714276226e+16,6997.352747655144,4623357482988679.0,21.0,1,2025-06-10 13:15:20.036295680,0 days 00:09:40.036295680,2025-06-10 13:05:40,2025-06-10 13:35:15.065616,0 days 00:29:35.065616,29.584426933333337,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.2379438945090242,8662.330111685631,1650.0927660840034
2025-137 ,2460852.33,2025 Jun 25 1954:50,Falcon 9,FT5,xxx/B1080.20 F497,Starlink-280,Starlink Group 10-16,V2MO 10-16,-,CC,LC40,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,2.7680522925137776,2948.6659334031806,8.302853373506249,0.1729773217649928,3.2091220295376026e+17,23154.826273570237,5730575052745719.0,56.0,2,2025-06-25 20:08:10.029777408,0 days 00:13:20.029777408,2025-06-25 19:54:50,2025-06-25 20:28:05.058568,0 days 00:33:15.058568,33.25097613333333,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.2711297000936284,29432.787376843404,3748.136843603084
2025-U03  ,2460914.48,2025 Aug 26 2330:03?,Starship V2,R2,B16/S37,Starship Flight 10,Ship 37,-,-,STB,OLP1,-,-,    192, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,2.881946218024451,6357.762407430878,8.427706340137526,0.080597896064254,6.500526371652506e+17,47952.21436990436,3915979741959341.0,166.0,1,2025-08-26 23:30:30.019876608,0 days 00:00:27.019876608,2025-08-26 23:30:03,2025-08-26 23:43:50.750407,0 days 00:13:47.750407,13.795840116666666,Starship V2,Starship            ,SPX,R2,-,1.0,2.0,121.4, ,9.0, ,5200.0,?,100000.0,0.0,80800.0,O,200.0,,1.1046594373568197,52970.866145872154,7023.162243840933
2025-189 ,2460914.97,2025 Aug 27 1110:40,Falcon 9,FT5,xxx/B1095.2  F523,Starlink-296,Starlink Group 10-56,V2MO 10-56,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,1.063772664123182,1888.2677649349,5.699253342819364,0.0670885061508746,5.346728685566621e+17,38583.80003581232,3874441076497552.0,138.0,1,2025-08-27 11:49:40.025605632,0 days 00:39:00.025605632,2025-08-27 11:10:40,2025-08-27 12:09:35.055389,0 days 00:58:55.055389,58.91758981666667,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.5297293672651668,59022.772015468894,2888.5386532810753
2025-192 ,2460918.99,2025 Aug 31 1149:00,Falcon 9,FT5,xxx/B1077.23 F526,Starlink-299,Starlink Group 10-14,V2MO 10-14,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.289410178177928,1077.7916627119523,7.191590241473085,0.1147712008095087,9.874764545952534e+16,7122.083036099418,4702268831405969.0,21.0,1,2025-08-31 11:48:27.020503552,-1 days +23:59:27.020503552,2025-08-31 11:49:00,2025-08-31 12:08:22.049983,0 days 00:19:22.049983,19.367499716666668,Falcon 9,Falcon9             ,SPX,FT5,-,1.0,2.0,68.4, ,3.65, ,480.0, ,13150.0,4850.0,5886.0,O,200.0,,1.1499709143576489,8190.188341154348,1239.4290638559146
