#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,files,L,ime,SNR,distance,enhancement,enhancement_molno2,mean_signal,size,hour_after_launch,obs_time,time_delta
2025-154 ,2460880.26,2025 Jul 23 1813,Falcon 9,FT5,xxx/B1081.16 F508,TRACERS,TRACERS,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat SSO D,SpaceX,-,-,34.63,-120.61,True,2.865334188875357,320.99817584463966,6.859272712428289,0.3042188290617105,3.5938991909805124e+16,2435.104075578593,3593899190980512.5,10.0,2,2025-07-23 19:16:53.023008512,0 days 01:03:53.023008512
2025-176 ,2460902.02,2025 Aug 14 1229:30,Falcon 9,FT5,xxx/B1085.10 F517,Starlink-293,Starlink Group 10-20,V2MO 10-20,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.0519014928020654,9875.572536671214,5.7033581676990766,0.07479199590633571,9.741825520196954e+17,70336.70452556969,3775901364417424.0,258.0,2,2025-08-14 12:43:07.035714560,0 days 00:13:37.035714560
2025-176 ,2460902.02,2025 Aug 14 1229:30,Falcon 9,FT5,xxx/B1085.10 F517,Starlink-293,Starlink Group 10-20,V2MO 10-20,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.0519014928020654,3064.8382977019,5.873738598297784,0.1189349074696774,3.0265729185767443e+17,21828.67119487247,3982332787600979.5,76.0,3,2025-08-14 13:23:15.023139584,0 days 00:53:45.023139584
2025-188 ,2460914.29,2025 Aug 26 1853:41,Falcon 9,FT5,xxx/B1063.27 F522,NAOS,NAOS,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,1.35,SPX,OS,-,C/OG,Sat SSO D,SpaceX,-,-,34.63,-120.61,True,3.087145417592071,379.6293972496102,5.599653538856736,0.2386030102252799,3.961928355224932e+16,2672.963283573405,2476205222015582.5,16.0,3,2025-08-26 20:50:22.021228544,0 days 01:56:41.021228544
2025-U03  ,2460914.48,2025 Aug 26 2330:03?,Starship V2,R2,B16/S37,Starship Flight 10,Ship 37,-,-,STB,OLP1,-,-,    192, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,True,2.881946218024451,6357.762407430878,8.427706340137526,0.08059789606425409,6.500526371652506e+17,47952.21436990436,3915979741959340.5,166.0,1,2025-08-26 23:30:30.019876608,0 days 00:00:27.019876608
2025-189 ,2460914.97,2025 Aug 27 1110:40,Falcon 9,FT5,xxx/B1095.2  F523,Starlink-296,Starlink Group 10-56,V2MO 10-56,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,1.063772664123182,1888.2677649348998,5.699253342819364,0.0670885061508746,5.3467286855666214e+17,38583.800035812324,3874441076497552.0,138.0,1,2025-08-27 11:49:40.025605632,0 days 00:39:00.025605632
2025-189 ,2460914.97,2025 Aug 27 1110:40,Falcon 9,FT5,xxx/B1095.2  F523,Starlink-296,Starlink Group 10-56,V2MO 10-56,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,1.063772664123182,232.94147741029565,6.304678142811948,0.12504100380094693,6.599993420773018e+16,4759.794956704885,3666663011540565.5,18.0,2,2025-08-27 12:29:48.027069696,0 days 01:19:08.027069696
2025-192 ,2460918.99,2025 Aug 31 1149:00,Falcon 9,FT5,xxx/B1077.23 F526,Starlink-299,Starlink Group 10-14,V2MO 10-14,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.2894101781779277,1077.7916627119523,7.191590241473085,0.11477120080950878,9.874764545952534e+16,7122.083036099418,4702268831405969.0,21.0,1,2025-08-31 11:48:27.020503552,-1 days +23:59:27.020503552
2025-192 ,2460918.99,2025 Aug 31 1149:00,Falcon 9,FT5,xxx/B1077.23 F526,Starlink-299,Starlink Group 10-14,V2MO 10-14,-,CC,LC40,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.46,-80.54,True,3.2894101781779277,760.4827878789343,6.5045820971076935,0.22081242287550285,6.969521759239863e+16,5025.295472382657,3318819885352316.0,21.0,2,2025-08-31 12:28:35.022309632,0 days 00:39:35.022309632
2025-198 ,2460924.02,2025 Sep  5 1232:30,Falcon 9,FT5,xxx/B1069.27 F529,Starlink-302,Starlink Group 10-57,V2MO 10-57,-,KSC,LC39A,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,3.622322928917941,620.5301137605096,5.7589431746251245,0.14062899831664438,5.163962399215765e+16,3723.6250412158306,3688544570868403.5,14.0,2,2025-09-05 13:07:18.027610624,0 days 00:34:48.027610624
2025-198 ,2460924.02,2025 Sep  5 1232:30,Falcon 9,FT5,xxx/B1069.27 F529,Starlink-302,Starlink Group 10-57,V2MO 10-57,-,KSC,LC39A,-,-,      -, ,    -, ,-,16.1,SPX,OS,-,C,Sat LEO D,nasaspaceflight.com,-,-,28.6083,-80.6041,True,3.622322928917941,1298.3167939983578,6.132265512103284,0.20876852982523972,1.0803742715239864e+17,7790.830482449673,4697279441408637.0,23.0,3,2025-09-05 14:07:18.032459520,0 days 01:34:48.032459520
2025-200 ,2460925.25,2025 Sep  6 1806:40,Falcon 9,FT5,xxx/B1075.20 F530,Starlink-303,Starlink Group 17-9,V2MO 17-9,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.5,SPX,OS,-,C,Sat SSO D,SpaceX,-,-,34.63,-120.61,True,3.238029892011646,1407.5805291461793,6.463267788917486,0.16989179289706877,1.4002662899769542e+17,9448.930224023636,3256433232504544.5,43.0,3,2025-09-06 20:06:58.027562496,0 days 02:00:18.027562496
2025-208 ,2460933.42,2025 Sep 14 2211:49,Falcon 9,FT5,xxx/B1094.4  F534,Cygnus NG-23,Cygnus NG-23,-,-,CC,LC40,-,-,      -, ,    -, ,-,12.0,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.46,-80.54,True,2.7310830188368826,683.6632139609796,6.830743021054474,0.10854067772448193,7.543262241241366e+16,5441.23590689067,4714538900775854.0,16.0,1,2025-09-14 22:04:10.025481728,-1 days +23:52:21.025481728
